CCD,NE_2019,NE_2020,NE_2021,NE_2022,ED_NA_2019,ED_NA_2020,ED_NA_2021,ED_NA_2022,area_m2,NE_area,NA_area,CN,car,all_people,market,road_m,license_ne,남북부,면허추정치,CCDK,,,,,
Jongno-gu,27318,28311,27609,27704,190,145,142,199,23912940,0.001158536,1.72E+05,s,0.3,144486,9,101836,841096,#N/A,14052.4,종로구,,Uiwang City,경기남부,,
Jungrang-gu,65065,69341,71560,74790,234,219,195,263,18495584,0.004043668,6.50E+04,s,0.3,375066,12,190964,841096,#N/A,37935.9,중랑구,,Yangju City,경기북부,,
Mapo-gu,52104,54002,54231,55533,198,183,147,152,23850082,0.00232842,6.53E+04,s,0.3,358927,6,451781,841096,#N/A,28168.1,마포구,,Yangpyeong-gun,경기남부,,
Michuhol-gu,65642,69074,72320,75765,142,141,158,196,24834989,0.003050736,6.42E+04,i,0.4,421789,7,273306,213909,#N/A,34939.8,미추홀구,,Yeoju City,경기남부,,
Namdong-gu,66423,71468,75633,80000,240,200,166,208,57449152,0.001392536,1.49E+05,i,0.6,492920,8,429923,213909,#N/A,36892.8,남동구,,Yeoncheon-gun,경기북부,,
Namyangju City,93007,100537,108285,115165,307,299,292,348,458144217,0.000251373,1.38E+06,g,0.4,718385,1,994784,284109,경기북부,56037,남양주시,,Yongin City,경기남부,,
Nowon-gu,80854,85420,88271,91946,287,227,246,252,35439209,0.002594471,9.71E+04,s,0.3,486446,2,165707,841096,#N/A,46638,노원구,,,,,
Ongjin-gun,5125,5485,5765,6100,6,10,8,6,172943948,3.53E-05,1.70E+05,i,0.6,19192,0,29985,213909,#N/A,2813.1,옹진군,,,,,
Osan City,20257,22060,23589,25237,97,112,100,128,42706072,0.000590946,2.17E+05,g,0.5,254071,1,276655,722587,경기남부,12943.2,오산시,,,,,
Paju City,60663,64915,69084,73543,211,210,248,272,673880299,0.000109134,2.49E+06,g,0.5,510689,7,699067,284109,경기북부,35784.6,파주시,,,,,
Pocheon City,27615,29314,31080,32863,153,158,158,179,826986438,3.97E-05,4.50E+06,g,0.7,157166,2,350885,284109,경기북부,15990.5,포천시,,,,,
Pyeongtaek City,61910,66486,70123,73372,358,355,337,380,458255095,0.000160112,2.37E+06,g,0.6,615755,5,1614278,722587,경기남부,37630,평택시,,,,,
Seocho-gu,57036,60072,60574,62228,368,330,344,387,46981622,0.001324518,2.92E+05,s,0.4,386254,2,195874,841096,#N/A,31564,서초구,,,,,
Seodaemun-gu,51645,53756,53822,55502,187,147,167,187,17626390,0.003148801,5.94E+04,s,0.3,316345,6,171228,841096,#N/A,28152.4,서대문구,,,,,
Seo-gu,53691,58087,63203,69831,171,177,182,195,118489133,0.000589345,3.31E+05,i,0.5,634066,5,492869,213909,#N/A,32203.3,서구,,,,,
Seongbuk-gu,70699,73613,74545,77293,216,209,232,262,24576991,0.003144933,8.33E+04,s,0.3,429210,6,306747,841096,#N/A,39205.5,성북구,,,,,
Seongdong-gu,43796,45435,46201,47530,156,146,150,161,16859898,0.002819116,5.71E+04,s,0.4,274688,4,114469,841096,#N/A,24108.7,성동구,,,,,
Seongnam City,125807,133221,138091,144800,498,417,440,566,141625381,0.001022416,5.54E+05,g,0.4,900867,26,739492,722587,경기남부,74263.1,성남시,,,,,
Siheung City,41403,46782,50915,54756,221,226,215,291,139683555,0.000392,7.42E+05,g,0.5,571982,6,804524,722587,경기남부,28082.5,시흥시,,,,,
s-Jung-gu,22974,24174,24037,24660,213,175,154,190,9960265,0.002475838,7.67E+04,s,0.5,126899,25,112398,841096,#N/A,12508.3,서울시 중구,,,,,
Songpa-gu,87182,93309,97503,103361,428,379,429,416,33877057,0.003051062,1.36E+05,s,0.4,628648,6,321489,841096,#N/A,52428,송파구,,,,,
Suwon City,123647,131936,139075,147122,498,470,569,561,121089714,0.001214983,4.62E+05,g,0.5,1224979,19,825479,722587,경기남부,75454,수원시,,,,,
Uijeongbu City,65272,70369,73525,77555,187,194,205,268,81547880,0.000951036,2.82E+05,g,0.4,456516,3,420013,284109,경기북부,37736.8,의정부시,,,,,
Uiwang City,20823,22280,23644,24954,55,43,61,44,54034758,0.000461814,9.53E+04,g,0.4,151306,1,208338,722587,경기남부,12798.1,의왕시,,,,,
Yangcheon-gu,61147,65541,68483,72235,234,222,209,220,17405694,0.004150079,5.30E+04,s,0.3,417397,9,440912,841096,#N/A,36639.9,양천구,,,,,
Yangju City,33412,36245,39036,41886,169,142,148,198,310469903,0.000134912,1.47E+06,g,0.5,293000,0,776437,284109,경기북부,20380.9,양주시,,,,,
Yangpyeong-gun,28448,30536,32375,34217,129,126,136,137,877789698,3.90E-05,3.51E+06,g,0.5,121622,4,629454,722587,경기남부,17548.8,양평군,,,,,
Yeoju City,23068,24475,25854,27269,102,92,91,129,608284421,4.48E-05,2.88E+06,g,0.6,117477,1,431115,722587,경기남부,13985.4,여주시,,,,,
Yeoncheon-gun,10990,11490,11814,12319,47,45,51,63,676215175,1.82E-05,3.46E+06,g,0.7,40386,1,235460,284109,경기북부,5994.2,연천군,,,,,
Yeongdeungpo-gu,56957,60663,61295,63349,350,347,325,334,24548214,0.002580595,1.29E+05,s,0.4,400799,6,170764,841096,#N/A,32132.7,영등포구,,,,,
Yeonsu-gu,34346,38190,41021,44014,54,69,43,62,56192486,0.000783272,7.92E+04,i,0.5,417391,2,127973,213909,#N/A,20297.5,연수구,,,,,
Yongin City,133817,143096,150263,157226,411,372,508,548,591235780,0.000265928,2.06E+06,g,0.5,1077481,2,29985,722587,경기남부,80636,용인시,,,,,
Yongsan-gu,38346,39779,38552,38478,184,116,137,204,21866147,0.001759706,1.16E+05,s,0.4,203401,6,179188,841096,#N/A,19517.3,용산구,,,,,
